,name,album,artist,release_date,length,mode,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
0,W / X / Y,Memories,Tani Yuuki,2021-12-08,278118,1,75,0.628,0.159,0.775,0.0,0.33,-4.479,0.0535,106.382,3,0.674
1,Habit,Habit,SEKAI NO OWARI,2022-04-28,253153,0,77,0.749,0.203,0.85,0.0,0.18,-5.39,0.126,117.968,4,0.912
2,ミックスナッツ,ミックスナッツ,Official HIGE DANdism,2022-04-15,213438,1,76,0.542,0.0101,0.918,0.0,0.259,-5.074,0.0937,150.094,4,0.784
3,ダンスホール,ダンスホール,Mrs. GREEN APPLE,2022-05-23,203149,1,73,0.736,0.0209,0.695,0.0,0.0517,-3.87,0.0468,109.976,4,0.784
4,シンデレラボーイ,レイジーサンデー,Saucy Dog,2021-08-25,234323,1,76,0.596,0.0748,0.735,0.0,0.269,-6.362,0.0332,108.106,4,0.524
5,ベテルギウス,壱,Yuuri,2022-01-12,230600,1,73,0.367,0.222,0.671,0.0,0.494,-4.604,0.0478,179.833,4,0.691
6,エジソン,ネオン,WEDNESDAY CAMPANELLA,2022-05-25,193510,0,70,0.838,0.0195,0.729,0.0089,0.101,-5.733,0.0802,129.999,4,0.619
7,POP!,IM NAYEON,NAYEON,2022-06-24,168106,1,72,0.793,0.0356,0.859,0.0,0.0343,-2.998,0.0544,97.001,4,0.392
8,新時代 - ウタ from ONE PIECE FILM RED,新時代 (ウタ from ONE PIECE FILM RED),Ado,2022-06-08,228214,1,75,0.494,0.0505,0.986,4.41e-06,0.334,-2.262,0.243,175.003,4,0.421
9,なんでもないよ、,ハッピーエンドへの期待は,Macaroni Empitsu,2022-01-12,219252,1,72,0.598,0.245,0.511,0.0,0.0732,-6.015,0.0423,171.845,4,0.652
10,愛とか恋とか,Assort,Novelbright,2022-05-16,232453,1,70,0.697,0.698,0.556,0.0,0.0991,-5.089,0.0364,89.987,4,0.404
11,Celebrate,Celebrate,TWICE,2022-07-15,188433,1,72,0.776,0.0628,0.89,0.0,0.0634,-2.678,0.0573,111.998,4,0.864
12,MASCARA,MASCARA,XG,2022-06-29,191439,0,75,0.794,0.0482,0.877,1.99e-06,0.241,-3.608,0.0827,119.013,4,0.506
13,雨燦々,雨燦々,King Gnu,2022-07-15,295681,1,68,0.494,0.354,0.862,0.00431,0.13,-4.608,0.041,94.99,4,0.587
14,水平線,水平線,back number,2021-08-13,285396,1,74,0.419,0.011,0.75,0.0,0.159,-3.546,0.0316,145.867,4,0.436
15,ドライフラワー,壱,Yuuri,2022-01-12,286360,1,71,0.463,0.495,0.603,0.0,0.167,-5.464,0.0276,148.089,4,0.477
16,Dynamite,BE,BTS,2020-11-20,199053,0,86,0.746,0.0112,0.765,0.0,0.0936,-4.41,0.0993,114.044,4,0.737
17,シャッター,壱,Yuuri,2022-01-12,248946,1,71,0.606,0.512,0.579,0.0,0.381,-5.582,0.033,149.988,4,0.661
18,優しさに溢れた世界で,サニーボトル,Saucy Dog,2022-07-06,258207,1,72,0.518,0.237,0.773,3.61e-06,0.126,-7.454,0.0468,147.937,4,0.526
19,カメレオン,カメレオン,King Gnu,2022-02-28,193990,1,74,0.628,0.643,0.533,0.0,0.0733,-7.235,0.0417,79.953,4,0.459
20,CITRUS,SiX,Da-iCE,2021-01-20,248653,1,73,0.549,0.22,0.861,0.0,0.361,-2.526,0.0459,82.042,4,0.739
21,きらり,Kirari Remixes (Asia Edition),Fujii Kaze,2022-01-14,231882,1,70,0.746,0.00803,0.764,0.0,0.357,-6.833,0.0462,116.982,4,0.701
22,Bye-Good-Bye,BE:1,BE:FIRST,2022-08-29,181018,1,28,0.878,0.109,0.654,0.0,0.0803,-5.225,0.0502,114.991,4,0.787
23,群青,THE BOOK,YOASOBI,2021-01-06,248026,1,73,0.725,0.305,0.853,0.0,0.115,-3.193,0.0516,134.991,4,0.707
24,残響散歌,残響散歌,Aimer,2021-12-06,184893,1,78,0.367,0.000627,0.896,0.0,0.207,-4.002,0.091,170.863,4,0.38
25,Butter,Proof,BTS,2022-06-10,164952,1,82,0.759,0.00323,0.459,0.0,0.0788,-5.187,0.0948,109.997,4,0.695
26,Mela!,Mela!,Ryokuoushoku Shakai,2020-04-13,242066,1,72,0.619,0.0439,0.941,1.73e-05,0.318,-1.618,0.0584,137.967,4,0.624
27,バニラ,バニラ,Kyanai,2022-03-09,251050,1,71,0.641,0.028,0.698,0.0,0.13,-3.934,0.0307,113.041,4,0.521
28,Left and Right (Feat. Jung Kook of BTS),Left and Right (Feat. Jung Kook of BTS),Charlie Puth,2022-06-24,154486,1,95,0.881,0.619,0.592,1.32e-05,0.0901,-4.898,0.0324,101.058,4,0.719
29,点描の唄,My Favorite Mrs. GREEN APPLE,Mrs. GREEN APPLE,2022-06-20,307120,1,21,0.53,0.447,0.628,0.0,0.0963,-4.641,0.0253,76.055,4,0.297
30,YOKAZE,ZURUMUKE,HENTAI SHINSHI CLUB,2021-06-16,269547,1,70,0.642,0.293,0.587,0.0,0.0784,-5.53,0.0268,89.96,4,0.361
31,Permission to Dance,Permission to Dance,BTS,2021-07-23,187585,1,82,0.702,0.00544,0.741,0.0,0.337,-5.33,0.0427,124.925,4,0.646
32,夜に駆ける,THE BOOK,YOASOBI,2021-01-06,258838,1,75,0.663,0.00299,0.871,1.8e-06,0.337,-5.287,0.03,130.025,4,0.826
33,STAY (with Justin Bieber),F*CK LOVE 3: OVER YOU,The Kid LAROI,2021-07-23,141805,1,87,0.591,0.0383,0.764,0.0,0.103,-5.484,0.0483,169.928,4,0.478
34,LOVE DIVE,LOVE DIVE,IVE,2022-04-05,177186,0,85,0.703,0.00379,0.709,5.43e-05,0.333,-4.169,0.0433,117.941,4,0.538
35,勿忘,Grower,Awesome City Club,2021-02-10,251533,0,71,0.448,0.234,0.447,0.0,0.382,-7.161,0.045,78.861,4,0.299
36,FEARLESS,FEARLESS,LE SSERAFIM,2022-05-02,168437,1,84,0.863,0.0508,0.62,0.00324,0.129,-7.167,0.135,103.971,4,0.432
37,逆夢,逆夢,King Gnu,2021-12-24,307666,1,74,0.204,0.442,0.708,0.0,0.319,-5.425,0.0458,83.443,4,0.278
38,魔法の絨毯,I believe in you,Takaya Kawasaki,2018-03-14,208896,0,72,0.622,0.776,0.309,0.0,0.122,-6.291,0.0481,73.897,4,0.571
39,常緑,you,Chippoke Ohashi,2021-10-13,171546,1,70,0.725,0.0242,0.75,0.0,0.101,-5.694,0.0772,101.19,4,0.888
40,Yet To Come,Proof,BTS,2022-06-10,193593,1,91,0.559,0.0432,0.885,0.0,0.333,-4.515,0.189,172.029,4,0.683
41,一途,一途,King Gnu,2021-12-10,190606,1,74,0.5,0.00723,0.964,6.2e-05,0.0557,-4.19,0.124,159.971,4,0.662
42,恋風邪にのせて,恋風邪にのせて,Vaundy,2022-03-07,255914,0,73,0.595,6.4e-05,0.909,0.000355,0.387,-3.594,0.0341,118.021,4,0.537
43,Comedy,Comedy,Gen Hoshino,2022-04-08,230666,0,76,0.676,0.0322,0.461,1.01e-06,0.358,-6.746,0.143,87.917,4,0.715
44,115万キロのフィルム,エスカパレード,Official HIGE DANdism,2018-04-11,324633,1,72,0.516,0.00345,0.791,0.0,0.141,-1.927,0.0318,96.921,4,0.48
45,Cry Baby,Editorial,Official HIGE DANdism,2021-08-18,241680,1,69,0.346,0.0103,0.901,0.0,0.358,-4.617,0.12,199.934,4,0.434
46,ハート,ハート,Aimyon,2021-10-20,271280,1,71,0.661,0.543,0.448,0.0,0.0818,-5.761,0.0522,78.114,4,0.299
47,怪物,THE BOOK 2,YOASOBI,2021-12-01,205480,1,68,0.598,0.0655,0.847,9.92e-05,0.307,-2.54,0.205,169.959,4,0.728
48,三原色,THE BOOK 2,YOASOBI,2021-12-01,220253,0,68,0.666,0.0836,0.923,0.0,0.315,-2.362,0.0712,128.014,4,0.861
49,Pretender,Traveler,Official HIGE DANdism,2019-08-31,326842,1,59,0.538,0.047,0.869,0.0,0.14,-3.464,0.0275,91.972,4,0.369
